5,6,1,22,39,20,5,13,15,39,5,14,20,18,40,0,9,0,40,1,20,18,9,16,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,39,20,5,39,5,14,20,18,40,0,9,0,40,1,20,18,9,16,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,9,18,5,13,26,39,20,5,13,15,6,15,22,9,18,39,5,14,20,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,9,18,5,13,26,39,20,5,13,15,6,15,22,9,18,39,5,14,20,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,9,18,5,13,26,39,20,5,13,15,6,15,22,9,18,5,14,20,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,9,18,5,13,26,39,20,5,13,15,6,15,22,9,18,39,5,18,14,20,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,9,18,5,13,26,39,20,5,13,15,6,15,22,9,18,39,5,18,14,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,9,18,5,13,26,39,20,5,13,15,6,22,9,18,39,5,18,14,20,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,9,18,5,13,20,5,13,15,6,15,22,9,18,39,5,14,20,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,1,22,9,18,5,13,20,5,13,15,6,15,22,9,5,14,20,18,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,18,9,16,12,1,40,20,1,2,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,18,9,16,12,1,40,33,27,27,38,29,27,27,38,30,27,27,40,20,1,2,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,9,16,12,1,40,33,27,27,38,29,27,27,38,30,27,27,40,20,1,2,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,9,16,1,40,33,27,27,38,29,27,27,38,30,27,27,40,20,1,2,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,18,9,1,40,33,27,27,38,29,27,27,38,30,27,27,40,20,1,2,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,20,21,18,9,1,40,33,27,27,38,29,27,27,38,30,27,27,40,20,1,2,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,18,9,1,40,33,27,27,38,29,27,27,38,30,27,27,40,20,1,2,12,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,5,6,24,5,25,40,29,27,27,38,29,32,38,29,32,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,24,5,25,40,29,27,27,38,29,32,38,29,32,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,5,6,24,5,40,29,27,27,38,29,32,38,29,32,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,5,6,24,5,25,40,0,9,0,40,29,27,27,38,29,32,38,29,32,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,6,24,5,25,40,0,9,0,40,29,27,27,38,29,32,38,29,32,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,24,5,25,40,0,9,0,40,29,27,27,38,29,32,38,29,32,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,20,18,9,3,9,20,1,2,38,18,9,12,16,9,22,9,18,38,20,5,13,15,6,15,22,40,1,6,40,0,15,4,5,6,24,5,25,0
5,14,20,9,20,1,2,38,18,9,12,16,9,22,9,18,38,20,5,13,15,6,15,22,40,1,6,40,0,15,4,5,6,24,5,25,0,40,29,27
5,14,20,18,9,3,9,20,1,2,38,18,9,12,16,9,9,18,38,20,5,13,15,6,15,22,40,1,6,40,0,15,4,5,6,24,5,25,0,40
5,14,20,18,9,3,9,20,1,2,38,18,9,12,16,9,9,18,5,13,15,6,15,22,40,1,6,40,0,15,4,5,6,24,5,25,0,40,29,27
5,14,20,18,9,3,4,9,20,1,2,38,18,9,12,16,9,9,18,38,20,5,13,15,6,15,22,40,1,6,40,0,15,4,5,6,24,5,25,0
5,14,20,18,9,3,4,9,20,1,2,38,18,9,12,9,9,18,38,20,5,13,15,6,15,22,40,1,6,40,0,15,4,5,6,24,5,25,0,40
5,14,20,18,9,3,1,2,38,18,9,12,16,9,22,9,18,38,20,5,13,15,6,15,22,40,1,6,40,0,15,4,5,6,24,5,25,0,40,29
18,9,20,15,13,1,22,9,18,40,28,27,27,14,7,40,0,9,0,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,15,13,1,22,9,18,40,28,27,27,14,7,40,0,9,0,40,20,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
